Area,ISO3 Code,Year,Demand,Net Imports,Total Generation,Clean,Nuclear,Wind and Solar,"Hydro, Bioenergy and Other Renewables",Fossil,Coal,Gas and Other Fossil,AvgPrice_EUR_MWh,MaxPrice_EUR_MWh,StdPrice_EUR_MWh
Germany,DEU,2017,592.0,-52.46,644.46,292.0,76.32,144.45,71.23,352.46,241.26,111.2,34.63833333333333,52.41,6.836863759108125
Germany,DEU,2018,583.54,-48.74,632.28,298.93,76.0,154.27,68.66,333.35,228.16,105.19,43.46333333333333,56.86,7.860400560384753
Germany,DEU,2019,567.42,-32.67,600.09,316.24,75.07,171.11,70.06,283.85,171.45,112.4,37.814166666666665,49.95,5.261713268047919
Germany,DEU,2020,547.72,-19.03,566.75,315.87,64.38,181.61,69.88,250.88,134.6,116.28,30.3725,43.75,9.27488997729402
Germany,DEU,2021,560.25,-18.58,578.83,301.63,69.13,163.5,69.0,277.2,164.65,112.55,97.27499999999999,225.08,58.13624851079653
Germany,DEU,2022,539.62,-27.26,566.88,286.25,34.71,185.11,66.43,280.63,179.93,100.7,235.53083333333333,463.59,98.70260993678602
Germany,DEU,2023,512.91,9.22,503.69,281.29,7.22,201.38,72.69,222.4,124.78,97.62,95.39083333333333,127.81,16.23070684526616
Germany,DEU,2024,519.27,26.27,493.0,287.87,0.0,212.74,75.13,205.13,106.33,98.8,77.74666666666667,111.61,16.32861422240854
Greece,GRC,2015,60.66,9.61,51.05,14.85,0.0,8.52,6.33,36.2,22.11,14.09,51.94,61.41,4.221434482602932
Greece,GRC,2016,62.64,8.8,53.84,14.89,0.0,9.08,5.81,38.95,18.88,20.07,42.83083333333334,51.11,3.7093774491963036
Greece,GRC,2017,61.04,6.24,54.8,13.8,0.0,9.53,4.27,41.0,18.76,22.24,54.69916666666666,74.62,9.237151723864724
Greece,GRC,2018,58.89,6.28,52.61,16.14,0.0,10.09,6.05,36.47,17.19,19.28,60.3425,71.43,9.012970577804172
Greece,GRC,2019,57.89,9.94,47.95,16.1,0.0,11.7,4.4,31.85,12.12,19.73,63.83416666666667,75.25,5.206875626311692
Greece,GRC,2020,56.37,8.86,47.51,17.55,0.0,13.76,3.79,29.96,6.61,23.35,45.06333333333333,59.0,9.451903447871164
Greece,GRC,2021,57.92,3.68,54.24,22.13,0.0,15.73,6.4,32.11,5.32,26.79,116.04666666666667,235.36,69.180858668136
Greece,GRC,2022,55.12,3.45,51.67,22.45,0.0,18.02,4.43,29.22,5.76,23.46,279.38916666666665,436.76,76.71374328197871
Greece,GRC,2023,53.74,4.91,48.83,24.28,0.0,19.81,4.47,24.55,4.59,19.96,119.23916666666666,191.66,27.910713634840295
Greece,GRC,2024,56.67,-0.31,56.98,28.0,0.0,23.71,4.29,28.98,3.27,25.71,100.6675,136.55,27.56291221089409
Hungary,HUN,2015,44.02,13.69,30.33,19.05,15.83,0.83,2.39,11.28,5.79,5.49,40.593333333333334,52.35,6.326046206443694
Hungary,HUN,2016,44.59,12.71,31.88,19.3,16.05,0.92,2.33,12.58,5.63,6.95,35.37583333333333,49.17,7.821761552737259
Hungary,HUN,2017,45.8,12.88,32.92,19.58,16.1,1.11,2.37,13.34,4.93,8.41,50.35166666666667,81.23,12.363065840223333
Hungary,HUN,2018,46.4,14.35,32.05,19.5,15.73,1.24,2.53,12.55,4.67,7.88,50.9475,65.05,12.171110448330284
Hungary,HUN,2019,46.86,12.58,34.28,20.99,16.29,2.23,2.47,13.29,4.03,9.26,50.31,73.23,9.967234502928266
Hungary,HUN,2020,46.6,11.68,34.92,21.58,16.06,3.11,2.41,13.34,3.71,9.63,38.994166666666665,58.19,10.89684396205311
Hungary,HUN,2021,48.85,12.75,36.1,22.9,15.99,4.46,2.45,13.2,3.01,10.19,113.44916666666666,245.7,69.47718166398013
Hungary,HUN,2022,47.93,12.15,35.78,23.47,15.81,5.34,2.32,12.31,2.99,9.32,270.90166666666664,495.65,98.05102510551546
Hungary,HUN,2023,46.62,11.1,35.52,25.28,15.92,7.56,1.8,10.24,2.49,7.75,107.08166666666666,148.8,20.66733779457702
Hungary,HUN,2024,48.71,10.73,37.98,27.96,16.02,9.87,2.07,10.02,2.44,7.58,100.71416666666666,163.71,33.59200918463506
Ireland,IRL,2018,30.87,-0.03,30.9,10.2,0.0,8.66,1.54,20.7,2.15,18.55,72.02999999999999,75.08,3.4991284629175885
Ireland,IRL,2019,31.35,0.64,30.71,11.79,0.0,10.05,1.74,18.92,0.51,18.41,50.31166666666667,79.42,9.98165848246703
Ireland,IRL,2020,31.82,-0.15,31.97,13.46,0.0,11.61,1.85,18.51,0.67,17.84,37.354166666666664,58.53,10.294494961636124
Ireland,IRL,2021,33.17,1.59,31.58,11.6,0.0,9.86,1.74,19.98,2.72,17.26,134.96916666666667,253.74,65.69382058366516
Ireland,IRL,2022,33.86,0.25,33.61,13.07,0.0,11.36,1.71,20.54,2.37,18.17,225.17083333333335,383.32,78.40576317620041
Ireland,IRL,2023,34.57,3.27,31.3,14.03,0.0,12.26,1.77,17.27,1.21,16.06,126.51416666666667,163.69,21.87803733025983
Ireland,IRL,2024,36.02,5.06,30.96,14.25,0.0,12.48,1.77,16.71,0.63,16.08,108.97250000000001,146.87,19.555861304571486
Italy,ITA,2015,326.08,46.38,279.7,108.89,0.0,37.78,71.11,170.81,43.2,127.61,52.305,67.71,5.699477647516957
Italy,ITA,2016,322.98,37.03,285.95,108.01,0.0,39.79,68.22,177.94,35.61,142.33,42.655,58.31,9.044067367365997
Italy,ITA,2017,329.85,37.76,292.09,103.89,0.0,42.12,61.77,188.2,32.63,155.57,53.9125,72.08,9.532633066567607
Italy,ITA,2018,329.96,43.9,286.06,114.41,0.0,40.37,74.04,171.65,28.47,143.18,61.26416666666666,76.26,8.918568432141333
Italy,ITA,2019,328.13,38.14,289.99,115.83,0.0,43.89,71.94,174.16,18.84,155.32,52.34833333333333,67.64,5.940943961317523
Italy,ITA,2020,309.01,32.2,276.81,116.9,0.0,43.7,73.2,159.91,13.38,146.53,38.89,54.07,10.353095277171063
Italy,ITA,2021,328.28,42.79,285.49,116.33,0.0,45.97,70.36,169.16,14.02,155.14,125.015,281.01,77.27064472594775
